NAME,SHORTNAME
Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),Grupo Aval Acciones y Valores S.A. (Each representing 20 preferred shares)
AeroVironment Inc.,AeroVironment
AvalonBay Communities Inc.,AvalonBay Communities
Avalon GloboCare Corp.,Avalon GloboCare
American Vanguard Corporation ($0.10 Par Value),American Vanguard ($0.10 Par Value)
Avadel Pharmaceuticals plc,Avadel Pharmaceuticals plc
AVEO Pharmaceuticals Inc.,AVEO Pharmaceuticals
Broadcom Inc.,Broadcom
Avinger Inc.,Avinger
Avianca Holdings S.A. American Depositary Shares (Each representing 8 preferred Shares),Avianca S.A. American Depositary Shares (Each representing 8 preferred Shares)
Avid Technology Inc.,Avid Technology
Advent Claymore Convertible Securities and Income Fund,Advent Claymore Convertible Securities and Income Fund
Avalara Inc.,Avalara
Avanos Medical Inc.,Avanos Medical
Aviat Networks Inc.,Aviat Networks
Avon Products Inc.,Avon Products
AVROBIO Inc.,AVROBIO
Avnet Inc.,Avnet
AVX Corporation,AVX
Anavex Life Sciences Corp.,Anavex Life Sciences
Avery Dennison Corporation,Avery Dennison
Avaya Holdings Corp.,Avaya
Alliancebernstein Global High Income Fund,Alliancebernstein Global High Income Fund
Armstrong World Industries Inc,Armstrong World Industries
American Water Works Company Inc.,American Water Works Company
Aberdeen Global Premier Properties Fund of Beneficial Interest,Aberdeen Global Premier Properties Fund of Beneficial Interest
American States Water Company,American States Water Company
Aware Inc.,Aware
Cool Holdings Inc.,Cool
Avalon Holdings Corporation,Avalon
Axos Financial Inc.,Axos Financial
Abraxas Petroleum Corporation,Abraxas Petroleum
Accelerate Diagnostics Inc.,Accelerate Diagnostics
Anixter International Inc.,Anixter International
AxoGen Inc.,AxoGen
WisdomTree Asia Pacific ex-Japan Total Dividend Fund,WisdomTree Asia Pacific ex-Japan Total Dividend Fund
American Axle & Manufacturing Holdings Inc.,American Axle & Manufacturing
Axonics Modulation Technologies Inc.,Axonics Modulation
Axovant Sciences Ltd.,Axovant Sciences
American Express Company,American Express Company
AMREP Corporation,AMREP
Axis Capital Holdings Limited,Axis Capital Limited
Axsome Therapeutics Inc.,Axsome Therapeutics
Axalta Coating Systems Ltd.,Axalta Coating Systems
AXT Inc,AXT
Alexco Resource Corp (Canada),Alexco Resource (Canada)
Atlantica Yield plc,Atlantica Yield plc
Acuity Brands Inc.,Acuity Brands
Aircastle Limited,Aircastle Limited
Aytu BioScience Inc.,Aytu BioScience
Alteryx Inc. Class A,Alteryx
Astrazeneca PLC,Astrazeneca PLC
AutoZone Inc.,AutoZone
Aspen Technology Inc.,Aspen Technology
Azure Power Global Limited Equity Shares,Azure Power Global Limited Equity Shares
AzurRx BioPharma Inc.,AzurRx BioPharma
Azul S.A. American Depositary Shares (each representing three preferred shares),Azul S.A. American Depositary Shares (each representing three preferred shares)
AZZ Inc.,AZZ
Barnes Group Inc.,Barnes
The Boeing Company,The Boeing Company
Invesco Taxable Municipal Bond,Invesco Taxable Municipal Bond
Alibaba Group Holding Limited,Alibaba Holding Limited
Natus Medical Incorporated,Natus Medical Incorporated
Bank of America Corporation,Bank of America
BlackRock Municipal Income Investment Quality Trust,BlackRock Municipal Income Investment Quality Trust
Booz Allen Hamilton Holding Corporation,Booz Allen Hamilton Holding
Braskem SA ADR,Braskem SA
Brookfield Asset Management Inc.,Brookfield Asset Management
Banc of California Inc.,Banc of California
Bandwidth Inc.,Bandwidth
BancFirst Corporation,BancFirst
Banner Corporation,Banner
StoneCastle Financial Corp,StoneCastle Financial
Credicorp Ltd.,Credicorp
Basic Energy Services Inc.,Basic Energy Services
Bioanalytical Systems Inc.,Bioanalytical Systems
Liberty Media Corporation Series A Liberty Braves Common Stock,Liberty Media Series Liberty Braves Common Stock
Liberty Media Corporation Series C Liberty Braves Common Stock,Liberty Media Series C Liberty Braves Common Stock
Baxter International Inc.,Baxter International
BlackBerry Limited,BlackBerry Limited
Bed Bath & Beyond Inc.,Bed Bath & Beyond
Concrete Pumping Holdings Inc.,Concrete Pumping
Banco Bradesco Sa American Depositary Shares,Banco Bradesco Sa American Depositary Shares
Barings BDC Inc.,Barings BDC
Banco Bradesco Sa American Depositary Shares (each representing one),Banco Bradesco Sa American Depositary Shares (each representing one)
BlackRock Municipal Income Investment Trust,BlackRock Municipal Income Investment Trust
Beasley Broadcast Group Inc.,Beasley Broadcast
VanEck Vectors Biotech ETF,VanEck Vectors Biotech ETF
Blackrock Municipal Bond Trust,Blackrock Municipal Bond Trust
BHP Group PlcSponsored ADR,BHP PlcSponsored
BlackRock Taxable Municipal Bond Trust of Beneficial Interest,BlackRock Taxable Municipal Bond Trust of Beneficial Interest
Barrett Business Services Inc.,Barrett Business Services
BB&T Corporation,BB&T
Brookfield Business Partners L.P. Limited Partnership Units,Brookfield Business Partners Limited Partnership Units
Banco Bilbao Vizcaya Argentaria S.A.,Banco Bilbao Vizcaya Argentaria S.A.
